09-05-2019 12:30:55 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:30:55 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:31:09 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:31:09 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:31:36 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:31:36 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:52:48 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:52:48 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:55:32 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:55:32 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:55:44 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:55:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:56:05 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:56:05 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:58:40 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:58:40 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
09-05-2019 12:59:11 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
09-05-2019 12:59:11 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 10:39:23 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 10:39:23 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 10:42:33 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 10:42:33 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 10:45:32 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 10:45:32 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 10:47:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 10:47:49 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 10:55:09 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 10:55:09 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 11:00:41 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 11:00:41 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 11:15:59 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 11:15:59 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 11:17:52 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 11:17:52 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 11:19:12 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 11:19:12 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 11:23:49 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 11:23:49 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 11:28:33 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 11:28:33 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 12:05:44 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 12:05:44 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 12:21:09 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 12:21:09 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 12:24:16 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 12:24:16 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:15:21 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:15:21 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:15:58 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:15:58 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:16:31 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:16:31 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:17:25 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:17:25 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:23:40 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:23:40 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:24:46 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:24:46 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:25:24 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:25:25 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:29:39 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:29:39 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:32:25 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:32:25 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
11-05-2019 14:38:24 DEBUG Tracer:106 - sampler.classes = ; loaded no samplers
11-05-2019 14:38:24 DEBUG Tracer:128 - span.receiver.classes = ; loaded no span receivers
